id,score,review
127743,Positive,Harika bir dudak kremi mentollü boyut olarak küçük fakat çok uzun süre kullanılır
31870,Negative,Silince iz kalıyor 😏
149101,Neutral,Güzel bir ürün.
67227,Negative,L aldim çok dar
143402,Negative,Ürün geldi güzel ambalajlı fiyatına göre pek işe yaramadı ml olarak. Çok küçük geldi kullanınca etkisi hakkında bilgi vericem
71262,Neutral,yani ortalama fiyat uygun
113576,Negative,yorumlara bakarak aldım yüzümü çok fena kuruttu beğenmedim
115380,Negative,malesef o kadar çok bekledim gelen ürün boş kap ve desteksiz.  Çok mahcup oldum hediye almıştım.
102763,Neutral,İkinci tüpünü daha kullanmadım ama bence bu ürün devamlı kullanılırsa bir etkisini görebiliriz diye düşünüyorum anlayamadım
87740,Neutral,elime yeni ulaştı paketlenmesi gerçekten çok iyiydi kullandıktan sonra tekrar yorum yapicam
69285,Negative,Aldim ama Henuz denemedim deneyince yazacagim
70703,Positive,Ürün ilk sürüldüğü anda cilde mükemmel bir ışıltı veriyor kesinlikle alınmalı
95369,Negative,Boşa almayın paranız ziyan olmayın far değil bildiniz sim
81814,Neutral,kutusuyla siparişti.kutu falan yok
5098,Positive,Ürünü kullanalı 3 hafta oluyor saçlarım sarı ve taramak açmak bir sorundu şimdi işe değil herkese tavsiye ederim bebek saçları gibi hafif ve ışıl ışıl parlaklık veriyor benim açımdan tek olumsuz yanı yıkarken yağın etkisi sanırım saçlarım çok dolaşıyor ama sonrasında hafif nemini alıp tekrar yapı sürünce sorun ortadan kalkıyor tavsiye ederim tüm bayanlara
2243,Positive,"ürünün kalitesini çok beğendim, ayrıca makul fiyata bu ürünü almak mutlu edici."
119268,Negative,"İnce, sert ve kötü kokuyor. İyi korumuyor. Tavsiye etmiyorum."
18630,Positive,Ürün hızlı geldi. Güzel paketlenmiş. Lise yıllarımın bırakamadığım parfümü. 5 puan verdim çünkü aynı ürün hızlı teslimat ve iyi paketleme. Ben kokuyu daha iyi hatırlıyordum ahahaha. Gayet güzel hafif ve temiz bir koku bu arada ama yeni kokuları keşfetme zamanı gelmiş. Teşekkürler
87063,Negative,36 38 arası giyen biri olarak yorumlara bakarak 36 aldım fakat yine olmadı. Aşırı sert ve kalın bir pantolon hiç esnemiyor. 38 alsam bile rahat oturup kalkamam. Kumaşın görünce düşünmedim bile bir beden büyüğünü. İade edicem
140229,Positive,kokusu muhteşem çok beğenerek kullanıyorum herkese tavsiye ederim
64949,Negative,Çamaşırın kenarlarında kısa sürede sökülmeler oldu
109585,Neutral,Bence işe yarayacak.. ilk gün izlenimim bu
109229,Neutral,Kokusu çok kalıcı değil ama fena da sayılmaz fiyatına göre iyi bir ürün
65444,Neutral,Uygun fiyatlı güzel
15794,Negative,"Ürün çok, salaş bir kalıp.. beden bol oldugu için iade etmek durumunda kaldım"
101352,Positive,Gayet güzel ve kullanışlı bir ürün cilde iyi geliyor ve kan dolaşımını hızlandırıyor.
148549,Positive,❤👍👏ürünüm gelince sonucu yazicam  yorumlara bakarak aldim
35125,Positive,hiç dusunmeden alin dedim. Kuruluktan oturu tirnak etlerimle çok oynayan biriyim. 2 haftada bir gittigim manikur surem 3 yada 4 haftaya cikti diyebilirim. Kokusu ilk basta çok agir gelse de zamanla alisiyorsunuz.
11223,Negative,Ürün resmen 15 gün içinde elime ulaştı. Ayrıca orijinal olduğunu düşünmüyorum yıkama gözüne çok fazla koymama rağmen diğer kullandığım ariel gibi kapağı açtığımda  buram buram kokmuyor. Üzgünüm bir daha almam
46701,Negative,1 yıkamada soldu
82195,Neutral,Yorumları okuyarak almıştım ama anlayamadım bana içerik olarak başka bir ürün geldi herhalde. Öncelikle yapış yapış bir his bırakıyor ve cildim hassas bir cildim olmamasına rağmen cildimde kızarıklıklar meydana geldi. Ben memnun kalmadım.
47705,Negative,Kalitesiz ustura.... iş görmedi
29953,Negative,Çok kötü bir ürün sivilce yaptı
129117,Positive,Katalogdan daha uyguna geldi ve paketi sağlam  yapmışlardı çok teşekkürler
2159,Negative,Small giyiyorum normalde. Ama bu aşırı dar oldu ve gercekten çok kisa sutyen gibi. Ona gore alin.
102595,Negative,ürün elime geç ulaştı kalitesi iyi değil sıcak günlerde kullanıma uygun değil büyük beden almama rağmen arka kısmı çekiyor
108780,Negative,kumaşı  iyi değil insanın vücudunu yakan bir kumaş eşim m beden giyer ama m bedenin kalıbı büyük
14759,Positive,"3 gün aralıklarla 3 kez kullandım, hafif olmasını istediğim için azar azar kontrollu ilerlemek istedim. boyasiz saçım, çok tatlı ışıltılar yakalamış oldum."
137628,Neutral,hızlı teslim edildi beklediğimden büyüktü. büyük kısmı gıcırdıyor ama kücük kısmında sorun yok
117830,Positive,O değilde 2 günde elime geçti bu nasıl bir hız helal olsun sağlam teslimat ürünü ilk fırsatta deneyip yorum bırakıcam :) teşekkürler
18765,Positive,Etkisini bilmem ama masaj olayı güzel his :)
45106,Positive,Ürün kendi kendine çalışıyo duruyo. bir garip anlamadım
82253,Negative,Çok fazla kuruluk hissi veriyor ve kuru gösteriyor
27641,Negative,Sıfır kalite
22964,Neutral,Kullanmadım daha ama gereksiz bişi
69916,Positive,Çok güzel bir ürün fazla para vermeye gerek yok
66505,Neutral,Yapış yapış olmasını beğenmedim
34407,Negative,Ağır kokusu
23370,Positive,Fiyatına göre çok güzel bir ürün kesinlikle tavsiye ediyorum 👌🏼
16543,Neutral,Kollarda çok etkili ama yüzde yanma hissi veriyor
31216,Positive,Daha kullanmaya başlamadım ama yorumlara bakarak aldım umarım etkili olur
99323,Neutral,Vanilla aldım orta tenliyim bembeyaz alırken muhakkak 4 5 ton koyu olanını alın ben aydınlatıcı olarak kullanıcam iade etmiyorum fkat çok çok açık. Açık tenli biri olsam kapatıcılığı çok yüksek olurdu çok yoğun ve bereketli bir ürün
111096,Positive,"Üzerindeki silikon dokusu çok kaliteli,titreşimi kademleri çok güzel olmuş daha kullanmadım umarım memnun kalırım 😊"
109543,Negative,Çok kötü kumaşı esnek değil ve kalıbı çok küçük
94733,Neutral,"fiyatı uygun ve yorumlar iyi yönde diye sipariş verdim, güzel paketlenmiş şekilde kısa sürede elime ulaştı. çok kaliteli bir tonlayıcı değil ama iş görür. bu fiyata anca bu kadar olur zaten.üstün performans beklememek lazım."
36376,Positive,Ambalaj çok iyi henüz kullanmaya başladım umarım iyi gelir
57021,Positive,Yorumlarda kırıldıgından hatta cıkık geldıgınden bahsedilmişti. Benim ürünüm sapasağlam güzel paketlemeyle geldı. Memmunum çok hos mutlu ediyor beni hele bir süre dolapta bekletip uygulayınca  daha güzel oluyor :)
90655,Negative,kokusunu sevemedim
148493,Negative,Esneklik yok kalıbı çok dar beden aldım olmadı bir büyüğünü aldım çok pot durdu olmadı tavsiye etmem
137961,Neutral,Fena değilll
144052,Negative,Göründüğü gibi değil özellikle rengi... Berbat. Kumaşı naylon gibi üste giyince ameliyathane önlüğü gibi duruyor
106982,Negative,Başka bir marka kullanıyordum denemek için geçiş yaptım ancak fairy bulaşık deterjanından hiç memnun kalmadım. Lekeleri diğer bulaşıklara dağıtıyor ve kalıntı bırakıyor. Diğer markada aynı programda bu kadar sıkıntı yaşamıyordum.
109112,Negative,"Bugüne kadar gelmedi, çok kötü hizmet!"
33318,Negative,İlk yikamada rengi soldu pamuklari cikdi tam bir hayal kirikligi nasıl begenerek sipariş etmiwdim😣
64972,Negative,Sadece çocuk için olan geldi yani tek çocuk için bu fiyat çok fazla kalitelide değil anne çocuk ikili diye aldım tam bir hayal kırıklığı kesinlikle tavsiye etmiyorum
62979,Neutral,Bekledigimd n çok küçük geldi
15398,Positive,"ürünü sipariş ettikten ertesi gün geldi göründüğü gibi ne küçük ne büyük tam ideal boy, ilk kullanılışa göre bayağı bir fark gördüm yüz temizliyicisiyle kullandım ve yüzümü yumuşacık yaptı kesinlikle tavsiye ediyorum, piyasadaki pahalı ürünlerle aynı işlevi görüyor teşekkürlee trendyol 🌸"
78839,Neutral,Kokusu çok güzel ama kalıcılık pek yok
130581,Positive,güzel ama büyük birşey beklemeyin
72587,Neutral,Denemek amaçlı almıştım ancak beklediğim gibi değildi pek beğenmedim rengini ve duruşunu
97303,Negative,çok minik normal boyutlara göre pismanim aldigima
112707,Positive,Karma bir cildim var. Kesfettigimden beri bitirince tekrar tekrar aldığım bir ürün. Cildimde  herhangi bir ağırlık ve sivilcede yapmadı.
49272,Positive,Sorunsuz teslimat marketten almaktan daha uygun
71908,Negative,ürünün küçük olması dışında farlar tam doldurulmamış dibine sadece renk konulmuş gibiydi beğenmedim
106292,Positive,aknetrent kullanıyorum yüzü güzel nemlendiriyor çok sevdim
91966,Positive,"Günde 1 kere sürüyorum, yağlı bir krem olduğundan ilk başta azıcık sivilce yaptı ama sonradan toparladı. Ağır bir krem aslında ama memnunum, cildim alıştı"
130266,Neutral,normal bir ürün bir daha almam
28285,Negative,Sanki ürün güneşte unutulmuş gibi açık bir siyah olarak geldi. 2 kere yikasam balkonda kurutsam giyilmeyecek.Ayrıca s beden giymeme rağmen m beden aldım. Ama ağ kısmı çok topladı tulum diyince rahatlık bekliyor insan. L XL alsam bacak kısmı bol gelecek.Garip bir ürün armonika 'nin elbiselerinde de kol altında bu tarz çekme sorunu vardı.
54778,Neutral,Sürümü zor geldi
146436,Neutral,Yorumlara bakarak aldm bir haftadır düzenli kullanıyorum ama yorumdaki gibi kendine hayran bırakacak bir etki görmedim cildim hala aynı parlaklık falan yok ama kullanmaya devam edicem yorumu güncellerim güncelliyorm yorumumu ; cildime hiç bir etkisi olmadı yorumlara aldandm aldm boşa almsm
55703,Positive,Ürünün nemlendiriciliği çok iyi. Tırnak kenarları için  tavsiye ederim
81419,Neutral,Yumuşak kullanıldığı sürece güzel ürün ama çok az sertlikte can acıtıyor
29367,Negative,Hassas ve kızarık cildime hiç iyi gelmedi. Gözeneklerimde daralma değil açılma oldu aksine. Yarım bırakmak zorunda kaldım. Tavsiye etmiyorum
7203,Positive,Ay çok güzel ben çok memnun kaldım üründen
75025,Neutral,Fiyatına göre çok iyi. Rengi hoş
68022,Positive,Ürün elime pandemi donemi nedeniyle gec ulaştı. Paketleme güzel . Ilk kulllanimda fark ediliyo güzel temizliyo cildi ve yumusaklik sagliyo
78683,Neutral,Yanında saklama kabı gelmedi dezenfektan da ayrıca çok gıcırdıyor kullanırken bunlar eksi yanları.. Fakat yine de minik minik saçlarımın çıktığını söylemeliyim tabiki ekstra bakım da yaptım yağlar dökülme engelleyici şampuanlar losyonlar hangisi en çok etki etti bilmiyorum 😅
43484,Negative,Pantolon değil naylon pijama görünümde hiç güzel değil
79322,Negative,BENDE PEK İŞE YARAMADI
62293,Positive,Yüzüm yumuşacık oldu ve tahmin ettiğimden büyük geldi ürün beğendim
47890,Neutral,Akma özelliği dışında sevdim
65762,Positive,Aşırı güzel temizliyor her zamanki gibi çokkk iyi
36860,Positive,Paketleme özeni için teşekkürler..
132818,Neutral,saçımda açma işlemi var kremsiz kullanımda sert oldu. dökülmesi diğer şampuanlara göre azaldı ama yumuşacık bir saç olmadı.
38668,Neutral,fena değil
103966,Positive,Ürünü çok severek kullanıyorum yüzümü çok arındırıyor ve temizlendiğini hissediyorum.
65927,Positive,Nemlendirmesi ve kokusu çok güzel
38449,Negative,Berbat.
18881,Negative,"Askilar ve dikili oldugu kumas kismi duzensiz ve esit değil, kaliteli bir ürün değil beğenmedim"
52774,Positive,Şiddetle tavsiye ediyorum çok güzel bir ürün ve gayet de uygun
13236,Neutral,Açıkçası fiyatına değmez bence
43922,Negative,Kokusu kötüydü. İade ettim ama kokuyu denemek için sıktığım için iade alınmadı
132779,Neutral,yuzu biraz kurutuyor
126577,Neutral,çok iyi değil
83148,Neutral,göründüğü gibi değil açık renk geldi ama nude pembe yaz rengi
144537,Negative,orjinal ürün değil
17842,Negative,çok kücük kalıbı kücük büyük beden alın derim
66252,Neutral,"Uzun süre kullandığım fondoten , kapatıcılık etkisi çok az daha çok nemlendirmeye yönelik tasarlanmış bir fondoten"
44163,Negative,Mavi istediğim ürün pembe geliyo ve bir açıklama yapılmadan
28581,Negative,Çok kaliteli değil ama iş görür. Uygun fiyatsa alınır.
41753,Negative,rezalet bir kalitede geldi sakın almayın sakın
4671,Negative,Sacima tutkal suruyormusum hissi verdi komusu da yapıştirici gibi
47227,Neutral,"Isparta Gül kokusuna bayılırım, fakat sıradan  gülsuyu kokusuyla karşılaştım.  Etkisi için denemeye devam edecem."
65060,Neutral,Çok keskin değil
81622,Positive,güzel paketleme uygun fiyat. katalog fiyatına göre ucuzluğı düşündürücü olsa da
21569,Negative,Hiç kullanmadım ağır bir kokusu var
77877,Positive,Bayıldım koruması çok iyi ve cildimi asla yağlı göstermiyor
21279,Neutral,Fiyatı pahalı bu ürüne
102647,Neutral,Fiyatı daha uygunken almıştım şuanki fiyatını hakettiğini düşünmüyorum nemlendirmesi yaz için güzel hafif canlandırıyor yüzü
40674,Neutral,Kokusu harika
82258,Negative,Sadece bir tanesi büyük diğerleri çok ama çok küçük. Almaya değmez.
4839,Positive,çok uyguna almıstım
79324,Positive,"sürekli kullandığım bir ürün, saçlarımı yumuşacık yapıyor"
66865,Neutral,pek bir etkisini goremedim bir de kokusu agir biraz
36103,Positive,Muhteşem bir ürün yaklaşık 3 ay oldu alalı tırnaklarım güçlendi parlıyor ve uzuyor. Tırnaklarımı yeme olayını anca atlattığım için aşırı uzun tırnaklarım yok ama ona rağmen uzadığını anlayabiliyorum teşekkürler ❤️
80393,Negative,gönderseniz keşke
65545,Neutral,Küçük tüyler için etkili güzel.
121804,Negative,1 dakika içinde saçımı mosmor yaptı işlevsiz bir ürün paranıza yazık
107406,Neutral,"Ürün bayağı hızlı elime ulaştı. 2 gündür gece ve gündüz kremini beraber kullanarak deniyorum. Hangisi sebep oldu bilmiyorum ama maalesef sivilce yaptı. Umarım krem kaynaklı değildir. Yorumlarda genellikle gece kremi için sivilce kaynaklı yazılmış. Anlamaya çalışıp yorumumu güncelleneceğim. Beyazlatmayla ilgili de henüz yorum yapabileceğim kadar zaman geçmedi. Bakalım, umarım güzeldir."
111331,Positive,Çok kuru bir cildim ve yanaklarımda kirmiziliklarim vardı. Bu ürünü sabah akşam uyguluyorum ve kırmızılıklarıma bile çok iyi geldi. ilk beş dk yapış yapış hissi oluyor sonra geçiyor. Kokusu çok güzel ve ferahlık veriyor. Gönül rahatlığıyla alabilirsiniz
148535,Neutral,Kokusu çok hoş kokusu kadar ıddalı olur ınsallah
140683,Neutral,güzel di beğendim
14845,Positive,F/P açısından çok başarılı bir ürün. Belirttiği şartlar altında kullanıldığı zaman işlevini gayet yerine getiriyor. Memnunum :)
24610,Neutral,Nemlendiriciliği güzel
117706,Negative,çok başarılı bir ürün tavsiye ediyorum
100484,Negative,"Poları beğendim sadece, diğerleri biraz kalitesizdi"
142723,Negative,göründüğü gibi küçük tatlı bir ürün fakat arka kısmında şarj yeri su aldığı için bozuldu uzun zamandır bunu almak istiyordum ve kursağımda kaldı ne yazik ki.
93291,Positive,Henüz kullanmadım ama gayet güzel gözüküyor fırçası yumuşak. Çok küçük diyenler olmuş ama yüzünüz çok geniş değilse büyüklüğü ideal bence.
144334,Positive,"Severek kullanıyorum, küçük boyu çanta için ideal 👍"
100066,Positive,Güzel bir ürün çok sevdiğim bir koku kalıcıdır tavsiye edebilirim
37348,Positive,"İlk kullandığımda biraz alerji yaptı kullanım bittikten sonra iyice yıkamak lazım bence. Ancak harika, en ufak noktaları ve küçük kılları bile alabiliyor.."
148243,Positive,daha yeni aldım düzenli kullanıp gorecegiz ve icinde bol bol var
98223,Neutral,Fena değil fiyatına göre normal
41101,Positive,çok beğendim. Güzel paketleme. hızlı teslimat
15214,Negative,hayal kırıklığı kumaşı  beklediğim gibi değil  fiyatı için  bıraktım
52250,Neutral,Kullanırken ses çıkarıyor gacur gucur ...
35951,Positive,fiyatina gore gercekten cçok basarili ve büyük boy cildi yumusacil yapiyor kesinlikle alin derim✨
110406,Negative,Göğüsleriniz bir füze gibi sivri olsun istemiyorsanız almayın direk iade
145897,Positive,İlk kullanımda bile etkisini gösteriyor. Severek kullanıyorum
97058,Positive,Yeni kullanmaya başladım ama ilk kullanımda bile fark ettim değişimi paketlemede güzeldi
17730,Neutral,yüzümde deneyince sivilcelenme yaptı biraz.
74297,Neutral,Ürünü daha önceden biliyorum aynı kıvamda değil gibinbiraz daha jöle kıvamında
19652,Neutral,Her zaman kullandığım ürün olduğu için aldım ama yine neutrogenanın pembe greyfurtlu başka bir peelingi geldi. Denemek için iade etmedim ama bu resimdeki kadar etkili değil bence
81460,Positive,bu parfüm çok güzel tavsiye ederim
37607,Positive,"Kargolama çok iyiydi, yanında ayrıca saç bandı hediye göndermişler teşekkür ediyorum. Ürünü kullandıkça yorumumu editleyeceğim."
136604,Negative,HASSAS CILTLER ALMASIN !!!.  YÜZÜMDE  KÜÇÜK SULU KABARCIKLAR OLDU. VE YANMA YAPTI. NEMLENDİRMEDİ ÜSTELIK.
15463,Positive,"sorunsuz geldi, kokusu çok güzel"
134100,Neutral,Diğer likit eyeliner kata göre daha doğal ve güzel ama sadece çabuk kuruma yapıyor
27779,Negative,Görüntüsü aynı değil. Ve işe yaramıyor
33321,Neutral,tarağı bayağı işpirto tezgahlarında satılan 1 milyoncu iďi plastik çok basit .makasları idare eder
64202,Negative,Kumaş kalitesi güzel ama dikişler ve kesim çok kötü bir bacağı kısa bir bacağı uzun geldi ayrıca bir yıkamadan sorna dikişleri açılabiliyor.
76183,Negative,alerji yapıyor
87937,Negative,35x50 değil daha küçük
124482,Negative,şarj için USB kablo göndermişler şarj edemiyorum
4205,Neutral,"Kadifemsi bir dokusu var, beğendim."
40242,Negative,Kumaş kalitesi çok kötü alti ile üstünün alakası yok resimle ilgisi yok kalitenin
116093,Positive,Çok başarılı kesinlikle tavsiye ederim
68467,Negative,İstedigim renk gelmedi
37074,Negative,Çok kaliteli bir şey beklemiyordum zaten ama bu kadar da kalitesiz ve adi bir malı olacağını düşünmemiştim. Kesimi resimdeki gibi aynı asimetrikte ve modern. Fakat kumaşı o kadar kötü ki giyebilir miyim bilemiyorum.
37791,Negative,Quantum max daha iyi
66788,Negative,Almayınnnn Kumaşı hiç iyi değil ve kalıbı çok büyük sofra bezi gibi......
2965,Negative,güzel alınmaya deger
145671,Positive,gün içerisinde yüzüm gergin olurdu bunu kullandigimdan itibaren nemli ve gergin hissetmiyorum pul pul kuruluk ve  kizarikliklarimi giderdi çok başarılı 👍🏻👍🏻
85974,Negative,hiç bekledigim gibi değil kesinlikle kapatici ozelligi yok ve cildimi pul pul gosterdi :( hediyede cikmadi
110310,Negative,Kesinlikle beğenmedim. İp kısımları fazla yukarıda duruyor orta kısmı daha asagıda oval gibi giyinince.
9315,Neutral,Yorumlar üzerine aldım umarım güzeldir
84172,Neutral,çok güzel kivirdigini soylemeyecegim
69120,Negative,Tül kısmındaki dikişleri aşırı kaşındırıyor hiç iyi değil kullanmadım
17411,Neutral,Sevemedim Yapış yapış bir his bıraktı temiz ciltte
11416,Neutral,Fiyatına göre ideal bir ürün. Çok fazla bir beklentiniz varsa karşılamayabilir. Paketleme iyi değildi ürün kutusu biraz ezilmişti fakat yanında gönderilen minik deneme boy yağ hediyesi için teşekkürler.
4431,Positive,İyiki almışım dediğim ürünlerin arasına gelir gelmez katıldı ilk kullanışta yüzünüzdeki değişimi %100 görüceksiniz
55275,Positive,kokusu çok güzel fakat küçük göründüğü gibi büyük değil gün boyu kalıcı koku değil
120541,Negative,Çok kalitesiz kalıbı çok kötü vasat
