label;text
Neutral;Futbola sekiz yaşında Ajax altyapısında başladı .
Positive;İlk filmimizi dün izledik Herşey yolunda gitti Ayrıca hızlı teslimat için de teşekkürler
Positive;Çok iyi fiyat olarakta gayet uygun
Negative;Sıcaklık değeri geç değişiyor
Neutral;Rumeli kazaskeri protokol ve rütbe olarak daha yüksekti .
Positive;Çok şeker bir filmdi.Özellikle sonuna bayıldım...
Negative;ortalamanın çok altında bir kitap
Negative;yıkadıkça rengi soldu ve parçalandı. kalitesiz ürün . 6 ayda çöpe attım
Negative;Tasarım ve ergonomi olarak gayet iyi lakin malzeme kalitesini beğenmedim. Üstelik tepki süresi biraz uzun, bu da bilgisayar kullanım konforunuzu bayağı bir etkiliyor. Oyun için asla alınmaz. Farklı ürünlere yönelin.
Positive;Hassas ciltler için birebir tavsiye ederim
Positive;o güne dek korku filmi izlememiş biri olarak bu filmi sinemada izlerken başlarda çok korkmuştum( ki korku unsuru fazla olan bir film değil) ama yinede sonuna kadar izledim.film gayet güzeldi özellikle görsellik ve oyunculuk açısından...iyi seyirler..
Positive;yorgunluk ve halsizlik cok yaşadığım için aldim ve kullandigdan beri daha dinç ve zinde hissediyorum kendimi çok iyi keisnkle kullanılmalı
Negative;Ürünün kalitesi standart taşıma kılıfı denen şey son derece kalitesiz incecik kağıt gibi bir şey Kargo hızlıydı ve paketleme fena değildi Zamanında ulaştı
Positive;TeşekkürlerHızlı gönderi
Negative;Ürünü eşim için sipariş ettim.Gelen ürünün jelatini kıyısından açık / gevşekti.Gelen ürünün dış karton kutusu orijinalinden farklı idi.Cam şişe aynı ve parfümü ofiste teslim alıp bileğinize ilk sıktığınızda mükemmeldi.Ancak üç saat sonra eve gidince EDP mi EDT mi şüpheye düşüyorsunuz. Evdeki daha önceden aldığınız orijinali olduğundan emin olduğunuz aynı marka EDP’yi bir bileğinize , hesaplı diye son iki ürün diye aldığınızı diğer bileğinize sıkınca farkı bariz şekilde hissediyorsunuz.Ben tabii ki gelen parfümü geri ver paranı geri al vs bunlarla uğrasmak dahi istemiyorum. Bu şişeyi de böyleymiş diyerek, bitirir eşim. Ama bir daha bu satıcıdan alısveriş yapmam. Ben bir kere kaybederim. Satıcı beni kaybeder. Seçim meselesi.
Positive;teşekkürler kaliteli ürün.
Negative;ürün siyah deyil aynada güzel durmadi ben ayni gün söktumbildigin esnek cam gibi ne varliği belli ne de yoklugu.
Negative;Yol boyunca görünür hareket problemi üzerine düşünmeye başladı .
Negative;berbattek kelimeyle kepazelik saygısızlık iğrençlik pislik ciddiyetsizlik labalilik sorumsuzluk     daha ne kaldıhepsi bu otelde mevcut gittiğim turada bircift lafım olacak neden bu oteli tavsiye etti turda arkadaşlar kesinlikle gitmeyin paranıza yazık
Positive;Cihaz göründüğünden daha kaliteli
Positive;Kurulumu yaptım gerçekten çok güzel oldu.. Parçaları da hiç sunta gibi durmuyor gayet sağlam.. Fiyatına göre çok güzel tavsiye ederim.
Neutral;Ancak kullanılan harf türlerinde dikkat çekici bazı stil farklılıkları vardır .
Positive;Kesinlikle fark yarattı, yorgunluğumuzu aldı. Emzirme sürecinde de günde 2 tane kullandım.
Neutral;bazı insanların göz altı morlukları genetiktir geçmemesi çok normal
Negative;Ürünü 70 yaşında annem için aldım, kendisi şehir dışında. Hem hediye diye, hem de iade edilebileceğini bilmediği için hiç bir şey dememiş. Gittiğimde gördüm. Ne ağzını büzmek için bir ipi var. Ne de ağzını kapatmak için konan toka çalışıyor. yani ağzı tam açık kalıyor.
Positive;ben bu ürünü yaklaşık 4 aydır kullanıyorum ve çok memnunum birincisi fiyatı çok uygun bir diğer yanı gerçekten ince sanki yokmuş gibi düşünmeden alın derim ucuz ve kaliteli
Positive;güzel fiyatına göre gayet güzel bir urun fakat şarj olurken çalışmaması çok kötü şarj edip kullanmak gerekiyor keşke şarj eserken de çalışsaydı
Negative;ses kalitesi berbatt Plastik bardaga ip taksam ucundan dinlesem daha iyi olurdu
Negative;ürünü sipariş verdikten kısa süre sonra elime ulaştı teşekkürler hepsi burada fakat ürün ısıtmıyor sıcak konumuna getiriyorum 2 saat açık bırakıyorum yatağı ancak hafif ılıtıyor kesinlikle tavsiye etmiyorum kumaş kalitesine ve kalınlığına söyleyecek sözüm yok.
Neutral;Öykülerinde konularını yaşadığı çevreden almıştır .
Positive;ürünün sim kartı takma yeri eksik geldi. yine de ürün güzel beğendim.
Neutral;Kokusu sanırım selenyumdan kaynaklanıyor ama zaten küçücük bir hap yutması hiç zor olmuyor
Positive;İnsanların çok rahat edebilecekleri, otelden çıkma gereksinimi duymayacakları bir yer.
Neutral;yayınevi ismi üzerine yapılan tavsiyeler için alındı umarım fayda sağlanır
Negative;ürüne tat katmaması gerekiyor ama bu agar agarı ekleyince varolan tadı da götürüyor. hiç memnun kalmadım.
Positive;Urun kisa surede elime ulasti.Paketleme basarili,ilgili firmaya tesekkur ederim.Ön cama vakumuyla taktim.(vakum iyi,sarsilma titreme yok)Aynanin arkasinda goze batmayacak kadar kucuk .Sarj oldugunda ayarlarini yaptim ve test ettim.Goruntu kalitesi super.32 gb hafiza karti kullaniyorum.300mb-400mb lik yiginlarla kayit yapiyor.surekli cakmakliktan sarj etmek gerekiyor,bataryasi 20 dakika anca dayaniyor.Ucuz seyler alip sinirlerinizi bozmayin,Alin pisman olmazsiniz.Hb ya tesekkur ederim.
Neutral;Belirli sürelerde vites kutusunun ön ve arka kısımlarında yağ kaçağı olup olmadığı kontrol edilmelidir .
Neutral;Temel olarak bir sınıfın diğer sınıflar üzerinde hakimiyet sağladığı devlet teorisidir .
Positive;ürün görseldeki gibi küçük bir şey fazla ağır değil işimi gördü teşekkürler
Positive;ürünü cuma sipariş verdim pazartesi geldi ama resimdeki modelin bi farklısını göndermişler daha giymedim hafif ve kaliteli gibi duruyor
Positive;Çocukların köpekleri kısaca tanıyabileceği ve onlarla karşılaştıklarında nasıl davranmaları gerektiği konularını anlatan güzel bir kitap
Positive;tencereleri kullanıyoruz ve gercekten verdiğimiz paraya değdi tencerenin tabanı ısıyı emiyo ve ateşten aldıktan sonra bile 5 dk kaynamaya devam ediyo bunun yanı sıra ebatlarıda gerçekten cok ii ayarlanmış ne cok ufak ne cok buyuk almak isteyenler kesınlıkle tereddütte kalmadan alabılır
Neutral;sorun yaşamıştım ama giderildi.
Positive;Bir Manisa'lı olarak her zaman Vestel'i destekledim.. Yerli Ürün dedim.. 3 tane Venüs telefon aldım.. Şimdi elimdeki Venüs'ü Z20 ile değiştirmek istiyorum.. Lakin bu fiyat emsallerine göre yüksek.. İnşallah fiyat yakın zamanda gözle görünür şekilde bir düşüş olur.. Genel olarak telefon çok güzel.. Gururla Yerli..
Neutral;Öğrendikleri bir anda hayatını değiştirir .
Neutral;Ürünün görselimdeki taşlama disklerini beklemeyin. Göndermiyorlar.
Positive;Ürün çok güçlü bir ışık yayıyor 1055 lümen e10 5w oranı çok iyi Boyutu da çok büyük değil avuca kolayca sığıyor
Negative;Daha önce Ck one be kullandım hem ben beğendim hem de çevremdekilerden olumlu yorumlar aldım.Fakat bu parfüm hoşuma pek gitmedi.Kalıcılık ve ayırt edicilik ortalama altı.Koku güzelliği ise maalesef 2/5
Negative;ürün guzel ve şık ama kablosuzdan kasit icerdeki kutu ile kombide ki kutu arasi icerdeki kutuyu prize takmaniz gerekiyor prizin olmadigi yere koyamazsiniz pilli degil ben sahsim adina bu ozelligi bilmiyorum bilseydim almazdim sirf bu yuzden kullanimi güzel tek eksi yonu prize takiliyor olmasi
Positive;çok güzel bir ürün beklediğim gibi çıktı
Negative;bir seri bu kadar berbat hale getirilmezdi
Neutral;Beğenmeyen arkadaşlar bu ürünü 14 yıl önce almıştım alırken Edt olanı değil Blue olanı almanız daha doğru Şişeden anlaşılacağı üzere ürünün orjinali blue dur
Positive;Lojitech iyidir. Fakat bu da en ucuzu. Uyduruk bir marka fare almak yerine alınabilir. Kalite beklentiniz olmasın, bildiğiniz leğen plastiği. Eşim M105 almıştı, kullanımda hissedilir şekilde o daha iyi. Ucuz fare arıyor olsanız da, az daha para verip onu almak daha mantıklı.
Negative;İlk kez bu sezon kullandim GuEl bronzlastiriyor ama hayatimda ilk kez soyuldum bu sene Ve bikinilerimin uzerinden lekesi cikmadi NasilBir krem anlamadim butun bikinilerimMahvoldu yikayinca da cikmiyor
Positive;Seyircininde dikkatinin öne çiktigi seyretmeye deyicek katilin aralarinda oldugu bilinen bir grubun yasadigi çatisma Wasat olan kismi ise Güsel ama klasik konusu
Positive;Kokusu ve kalıcılığı çok iyi,parfüm esmer insanlarda kalıcıdır, fakat 1 Million bu konuda fark yaratmış,beyaz tenli insanlarda da inanılmaz kalıcılığı var (kendimden biliyorum) Elbette koklamadan alırken tereddüt edeceksiniz, aynı şeyi ben de yaşadım ama bu parfüm bütün endişeleriniz yok ediyor. Kesinlikle tavsiye ederim.
Negative;mesaj bile 10 dk sonra gidiyor çekim gücü berbat 3 yıldır kullanıyorum ve üyeliği silerken 3 yıllık üyelik silinir diyip indirimlerimi sildiler telefonu küçük bir şey yapmak için elime alıyorum (görüntülü arama ) ve 10 dk sonra bağlantı hatası veriyor baktığımda daha 6 GB var ama kullanılmıyor
Positive;urun elıme gectı kendım taktım ses ıdeal cok asırı beklentınız olmasın ama ama fıyat performans acısından guzel 4 yollu olmasın ısın guzel tarafı tiz seslerde ıyı hepsı buradaya tesekkurler
Negative;Eksik ürün ilgisiz satıcı
Positive;Çekim alanı ve batarya ile çalışabilmesi çok iyi Aynı zamanda en ufak seste aktif olarak sesi iletmekte Ses netliği telefon ses kalitesinde olmasa da gayet anlaşılır ve asıl fonksiyonuna uygun çalışmakta
Negative;İftar için gittik berbat ötesi masada peçete yok servis yemeklerımize devam ederken masadaki herşeyi topladılar çaylarimizi içmeden termosları sormadan almışlar masayı toplamaya geldiklerinde birde kocaman çöp kovasını getirmişler yanımıza birşey söylüyorsun 15 dk sonra getiriyor bir daha gider miyim kesinlikle boş koltuklar varken kendilerine kolaylık olsun dıye ferforje metal masa ve sandalyeye oturduk fiyatlar da çok yüksek ibb ye görede fıyatları çok yüksek
Negative;Ürün kalitesini beğenmedim elyafı az çok ince yastık kılıfı tül gibi
Negative;İki etkili söz birkaç hoş diyalog ile mükemmel film olmuyor Hele ki işin içinde son dönemin en yetenekli yönetmenlerinden biri olan Çağan Irmak varsa insan çok daha iyisini bekliyor Hikayenin birçok yerinde tutarsızlıklar var Özellikle kızın duygu ve yaklaşımlarında mantık hataları çok bariz Güzel müziklerle kotarılmaya çalışılmış bir film Çağan Irmak çarpıcı filmi Mustafa Hakkında Herşey in altında bir iş çıkarmış maalesef Babam ve Oğlum zaten ayrı bir yerde Tamam piyasa standartlarının üstünde bir film ama 8 3 değil abartmayalım Büyük umutlarla gitmeyin hayal kırıklığı olur Çağan Irmak daha fazlasını verebilecek bir yönetmen ben daha etkili bir anlatım daha tutarlı bir hikaye beklerdim Ayrıca anneye bağırma sahnesi esin kaynağı olduğunu düşündüğüm sahne için bkz Great Expectationsda Finnin eniştesine sergi açılışındaki bağırma sahnesi
Negative;Ürün çok rahatsız kumaşı çok sert oturma yeri dar kolay taşınabilir bir ürün değil uzun konforlu zaman geçirmek için alıyorsanız buna pek uygun bir sandalye değil
Positive;Sağlamlığı ve kalitesiyle tam bir Sony ürünü. Oyun oynarken kırılır mı bozulur mu diye düşünmüyorsunuz. En azından oyun kollarında orjinalden vazgeçilmemeli.
Positive;Özellikle mırmır ve rüzgar favorisi oldu oğlumun. Kaliteli baskı, eğlenceli resimler ve güzel hikayeler.
Positive;pişman olmayacaksınız emin olun ihtiyacı kesinlikle karşılıyor..
Neutral;Su kirliliği yaşayan illerin sayısında artış olmuştur .
Neutral;Farklı sıvılar için veya farklı durumlarda farklı bardak stilleri kullanılabilir .
Positive;Oyun efsane ötesi pubg den binlerce kat daha iyi anlatılmaz yaşanır hani diyosunuz ya herşey elmasla elmas vermiyo oyun zaten yükleme yapmadan ayrıcalıklardan yararlanmayı beklemeyin arkadaşlar oyunda etkinliklerden ücretsiz eşyaları alıyosunuz zaten herşey bedava olsaydı oyunun bi eğlencesi bi amacı olmazdı zaten
Positive;Mustafa Kutlu Anadolu insaninin ruhunu ve ahlakını bilen bugünün en onemli oyku yazari Denemeleriylede unuttugumuz degerleri hatirlatir
Negative;"para israfıkim nasıl bu oteli cidden beğenip yüksek puanlı yorum yapmış anlamak mümkün değil ağustos da bu otelde beş gün kaldım odalar öyle dar ki (yatak makyaj masası arası odanın tek geçiş yeri ve  cm) sağa sola takılıp bir şey devirmeden yürünmüyor çatal bıçaklar pis her şey dahil diye o kadar ucuza kaçılmış ki verdikleri alkollü alkolsüz içecekler neredeyse merdivenaltı üretim gıda boyasından başka bir şey olmayan inanılmaz ucuz hayatımda adını dahi duymadığım ürünler yemeklerde de aynı mantıkla ucuza gelsin diye nereden nasıl ürünler alınmışsa öylesine yapılmış yemeklerdi çoğu zaman mecburen dışarıdan yemek zorunda kaldık aşçı çok anlayışlı ve maharetli biriydi ancak elindeki malzeme belliyken adamcağız ne yapsın tuvalet banyo aynı şekilde çok dar duş almak işkence oda temizliği beş günlük tatilimizde dördüncü günü ancak sormayı akıl ettiler kaliteli hizmet anlayışı sunan bir otel gibi her gün odaları gezip temizlik istenip istenmediğini soran bir anlayış yok o kadar ki ""lütfen rahatsız etmeyin lütfen odayı temizleyin"" tarzı bildirim kartları dahi yok otelde tuvalete konulan iki küçücük sabun ve şampuan hiç yenilenmedi tv deseniz allaha emanet anten yerine çatala bağlanmış gibi görüntü otel personeli inanılmaz lakayıt saygısız sorumsuz ve umarsız askerlik arkadaşıyla konuşurmuş gibi sizinle konuşuyor beğenmediği müşterilerin arkasından bir küfretmediği kalıyor tüm tatilimiz boyunca çatıdan havuza su damladığını gördük hiçbir şekilde sorunu çözmek için uğraşılmadı bile allah bilir ne kadar süredir orası öyleydi soğuk olması gereken mezeler erkenden açık büfeye konuyor resmen sıcak yemek yiyorduk küçücük çocukların yetişkin havuzuna hem de atlayarak girmesine ses çıkarılmıyordu otelin tek güzel yanı (otelin bile değil) denize (çakıllı plaj) yakın olması ve kafa dinlemek isteyenler için marmaris ten uzak sakin bir yerde olması başka hiç ama hiçbir şey yok bu otelde internetten otel seçimi acemiliğimi attım ve bir daha otel seçerken kesinlikle ne bu oteli ne de bu otele benzeyen otelleri aklımın ucundan dahi geçirmeyeceğim"
Neutral;biraz kucuk idare eder duzeydeısık veriyor
Positive;Hediye olarak aldım gayet güzel bir cihaz fiyatı makul fiyatının cihazı alan herkez güle güle kullansın.
Neutral;Gol krallığı yarışında ise üçüncü sırada kendine yer buldu .
Positive;küçük olması ve hızı avantaj.
Positive;Belki öğrencilerimle uygulayabilirim diye heveslee aldım
Neutral;Buradan aldım kullandım Denildiği gibi dus sonrası nemlı olarak kullandım ancak tamamen kokuyu kesmedi Tam anlamak ıcın uzun surelı kullanmak lazım yuzde yüz etkili deil ama biraz kokuyla idare ederim derseniz tavsiye ederim
Neutral;"Nebi kelimesi ""haberci"" ""haber alan"" anlamına gelir ."
Positive;tanıdık iyi ürün
Negative;Ya her şey iyi güzel bir filmi çok seven olur, veya hiç sevmeyen olur zevkler farklı diyip bunları anlarım . Ama benim anlamadığım adam senariste bakıyo yönetmene bakıyo yapıştırıyo puanı ama daha sadece filmin fragmanını izlemiş kimisi fragmanı bile izlememiş :( Beyazperde niye böyle bir şey yapıyo anlamadım film türkiyede 6 martta vizyona girdi ama bundan önce film çoktan puanlamaya açılmıştı.Ben bu filmi izledim arkadaşlar ve bizim bildiğimiz süper kahraman filmeleriyle alakası yok. Aksiyon desen filmin giriş sahnesindeki dövüş dışında aklımda yer eden 1-2 patlama sahnesi oldu. Konu deseniz her zamanki gibi amerika ve sovyetler arasında ki nükleer savaş eğilimi. Kahramanlar deseniz aslında çok bol kahraman var ama 2-3 kahraman dışında diğerleri, kostümleri nedeniyle bana daha çok sirkte gösteri yapan insanları çağrıştırdıkları için çok kahraman gibi gelmediler :D ( birde ayrı parantez lazım bir kahraman var evlere şenlik Dr.Manhattan:D . O adam anlatılmaz yaşanır adam aşmış olayı diğer kahramanlar gariban kalıyo onun yanında) Yani sonuç olarak aksiyon yönünden, kahramanlar yönünden, konu yönünden bence elle tutulcak bir yanı yok bu filmin. Sadece nükleer savaşa karşı bulunan çare klişenin dışına çıkmış ama yaklaşık 3 saatlik bir filmde sadece bunun için izlenmez . Bana sorarsanız bu filmi izleyeceğinize 3 saat gökyüzüne bakın daha anlamlı şeyler mutlaka bulursunuz. Bu film en fazla 10 üzerinden 5lik bir film olabilir bence ..
Positive;Ürün ince polar. Güzel ama beden olarak olmadı başkasınaverdim
Positive;Ali bakkal satıcısından aldım paketleme gayet güzeldi Daha önce perwol persil omo kullandım aralarında leke çıkartma konusunda pek fark göremedim Kokusu güzel Alınabilir
Neutral;bir de içerisinde kurulumla ilgili bir broşür olsa daha iyi olabilir.
Positive;Süpürgeyi hepsiburada.comdan almamıştım ve alalı yaklaşık 8 ay oldu. Normal süpürgemiz arızalındı, bize uygun bir süpürge araştırması yapıp alıncaya kadar kullanmak ve fiyatı uygun olduğu için bu küçük süpürgeyi aldık. Aylarca normal süpürge ihtiyacı duymadık ve büyük süpürgeyi daha geçen ay aldık. Aylarca evin tüm ihtiyacını gördü. Sadece komple evi süpürdüğümüzde toz torbası boşaltmamız gerekiyor, yeni aldığımız süpürgede toz torbasını atabildiğimiz için aldık. Kesinlikle çok kullanışlı, normal süpürge almamıza rağmen yine de günlük Fantomu kullanıyoruz. Şarjlı küçük süpürgeleri hiç düşünmeyin ve Fantom ile kesinikle kıyaslamayın, bu süpürge neredeyse büyük süpürge gücünde ve fiyatı çok uygun. Düşünenlere bir nebze yardımcı olabildiysem ne mutlu.
Negative;Ürün berbat tadı çok kötü ve hayatımda gördüğüm en kötü amino ve migde agrisindan duramazsiniz.sakin almayın
Negative;hayal kırıklığı ve sinir bozukluğusakın ama sakın bu otelin kapısından bile geçmeyin benim gibi aldanıp gittinizse bakın başınıza neler gelecek resepsiyondaki koltuklara pislikten oturamayacaksınız odanız  kişik denildiği halde  kişilik çıkacak  bi portatif katlamalı yatak gelecek  hafta boyunca hamakta yatarcasına içine gömülecek ağrımzdık kemiğiniz kalmayacak hersabah haşlanmış yumurta ve kuru fasulye yiyeceksiniz yanlış duymadınız sabah kahvaltısında kuru fasulye sinek barda hergün buz gibi yağsız tuzsuz makarna olacak garsonlar size ister ye ister yeme tavrında davranacak çünkü onların size hizmet etmekten daha önemli işleri varki oda yabancı turistlerle kikirdeyip gözünüzün önünde öpüşecekler kendi canları ne istiyosa menemen sucuklu yumurta vs gibi ahçıya seslenip bana hemen yapın diye emir verecekler sonrada sizin masanızda oturup yiyecekler sizde şaşkın bakışlarla onları izleyeceksiniz ahçıların üstlerine giydikleri önlükleri görünce mideniz kalkacak kolağızları kayış tutmuş üzerinde her çeşit yemek bulunan kıyafetlerle etrafınızda dolaşacaklar cam bardakta çay içemeyeceksiniz plastik bardakda içmeniz yetmiyomuş gibi bardakların sürekli koktuğunu göreceksiniz müdür beye gidip olanı biteni söylediğinizde ne yapalım iştenmi çıkaralım diyecek kadar büyük bir boşvermişlik içinde olduklarını göreceksiniz denize inmeniz mümkün olmayacak çok uzun bir merdiven silsilesini aşmanız gerekecek gitsenizde taşların üstünde kırık  plastik şezlong bulacaksınız daha anlatacak çok şey varda terbiyem müsade etmiyo bundan sonrası size kalmış başınıza iş almadan dönmeniz umuduyla
Neutral;Oyuna bireysel konuşma gelmesini istiyoruz lütfen dikkate Alın
Neutral;Yüksekliği ayarlanamıyor olması dışında olumsuz bir durumu yok
Positive;Beğendim. Fiyatı da uygun. Pek anlamam ama çeliği de güzel görünüyor.
Negative;Bu kargo yu beğenmedim 5 gün anca alabildim ürünümü
Positive;Sorunsuz teslimat sorunsuz ürün Teşekkürler HB
Neutral;Dolaşım sıvısı yoktur .
Positive;Filmin ses ve görüntü efektleri çok güzel olduğundan DVD üzerindeki DTS özelliği sizi cezbedebilir ama maalesef üzerinde yazmasına rağmen film Dolby Digital 5.1, DTS değil, lütfen makinanızın ayarıyla oynamayın :)))
Positive;hızlı kargo hepsi burada.com,a teşekkürler. ürün güzel...
Positive;Güzel bir ürün.Mesafeyle ilgili sıkıntı yok.
Positive;Kullanışlı güzel
Positive;Bayram sonrası yaşanan gönderim sorunları nedeniyleürün elimize geç ulaştı ancak hepsiburada ekibine yaptıkları bilgilendirmeleri için teşekkür ederim arabanın çok basit bir görüntüsü var Çocuğumun isteğini yerine getireyim yeter diyenlere tavsiye edebileceğim bir ürün
Neutral;berbatt sadece oda ve havuz güzel başka hersey fiyasko plaj uzak ve kayalı taşlık bile demiyorum kayalık yemekler kötü salatayla karnımızı doyurduk internet odalarda yok sadece recepsiyounun orada var oradada prizler çalışmıyor üç kişilik odada bir havlu var görevliler cok amatör içecek istiyorsun yerlere paspas yapıyorum sonra gel diyor hamama gidiyorsun sabun yok şampuan yok istersen alıyorsun v s tatiliniz hüsran olmasin
Positive;görüntüsünden tam anlaşılmıyor ama eski tip akkor telli ampülmüş görüntüsü çok güzel ama çok elektrik yakıyor
Negative;Hepsiburada com ile alakası yok Maliyeti iyi kargo sorunsuz ama ürün sıkıntılı Daha kötüsünü görmedim 15 senelik Toshiba 2 0 belleklerim bile taş gibi çalışırken bu ürün 3 ayda bozuldu Teknolojik aletlere çok iyi bakarım Hor kullanmam Ona rağmen kopyalama yavaşlığı hemen bozulması canımı sıktı Kingston illallah dedirtti Güya 3 0 ama 50 kblık bir doc dosyasını bile 10 saniyede atıyor Birçok bilgisayarda denedim hepsinde aynı Sürekli aygıt arızası veriyor Birçok dosyam var ve kurtaramıyorum
Neutral;En iyisi çelik sibop taktırın.
Positive;Yas grubuna ozel olmasi nedeniyle guzel olabilir.
Positive;bir haftadır kullanıyorum. çok hızlı kamera güzel beklentilerimi karşıladı yalnız bazen şebeke çekişi azalıyor  merkezdeyim turkcel ciyim başka olumsuz yönü yok
Positive;bebegime başka krem kullaniyordum birgün pişik oldu ne denediysem gecirmedi sonra bu kremi kullandım birkaç kullanmaya bebegimin cildi eski haline geri döndü tek kelimeyle harika
Neutral;Termal sauna şortu henüz 4 gündür kullanıyorum. Bel bölgemde 1 cmlik bir incelme oldu, galiba işe yarayacak. Yalnız bir sıkıntısı var. Dışarıda giyecekseniz dikiş yerlerinden terleriniz çıkıyor. Bu da altınıza kaçırmışsınız gibi bir görüntüye yolaçıyor. Evde kullanıma daha uygun bir ürün.
Positive;kokusu tartışmasız mükemmel bence ama hiç kalıcı değil ayrıca paketleme ve özenli kargo için teşekkürlerrr
Positive;Her türlü delme vevidalama işinizi rahatlıkla yapabileceğiniz bir alet Verilen parayı sonuna kadar hak ediyor 2 adet akü şarj cihazı ve üzerinde takılı düz yıldız uçla birlikte geliyor Ben daha önce akülü dekupaj testeresini de almıştım Akülerini ortak kullanıyorum
Positive;Bugün itibariyle elime geçti.Kargoya verme süresi biraz gecikti sadece.Samsung Türkiye tarafından gönderildi.Bu fiyata alınabilecek en lyi ürün bence.Ekran tft falan sizi yanıltmasın gayet canlı ve gözalıcı.Malzeme kaliteside güzel.Sabahtan beri kurcaladım %25 şarz yedi.Fotoğraf çekimleri beklentimin üzerinde.Bence samsung güzel bir iş çıkarmış.Bu telefonu öyle 3000 Tl lik telefonlarla kıyaslamakta abes olurdu zaten.Parasını fazlasıyla hakeden bir ürün.
Negative;En küçük bir ayrıntının bile her iki taraf için de güzel giden bir ilişkiye zarar verebileceğini göstermeyi amaçlayan film Filmde kısaca porno ve kadınlar ikiliminde kalmış bir erkeğin olayını anlatıyor Çok ahım şahım bir film değil fakat yüksek beklentilere girmeden izlemekte fayda var
Neutral;Tavayı akşam yemeği için kullandım. Fena değil.
Positive;İnşallah bir daha aynı yere gitmeyi düşünüyorum. Açıkçası beğenmediğim hiç bir yeri yok . Oteldeki genelde müzik konusunda yabancı uyruklu ailelere yönelik. Türklere yönelik olsa biraz daha seviniriz.
Neutral;İçinde hiçbir yerleşim yeri olmayıp kesintisiz orman alanına sahip bölgeye orman denizi denilmektedir .
Positive;Ürünüm henüz elime ulaştı. Güzel paketlenmişti ama ürünü çalıştıramadım
Neutral;Konferans yapılması için Benito Mussolini tarafından ikna edildi .
Positive;özellikler bölümünde belirtilen FM radyo özelliği maalesef cihazda bulunmuyor parmak izi okuyucu çok iyikamera çok iyi
Negative;Ambalaja ve isme kanarak beklendiyi yükseltmeye gerek yok, sıradan bir batarya, orjinali bozmaya değmez
Negative;küçük kahve fincanlarında bile aşağı doğru sarkma oluyo. onu bile tasiyamiyorsa ne işe yarıyor anlamadim
